term,beta_std_north_pooled,beta_std_north_post,beta_std_north_pre,beta_std_south_pooled,beta_std_south_post,beta_std_south_pre,pval_north_pooled,pval_north_post,pval_north_pre,pval_south_pooled,pval_south_post,pval_south_pre
W30_inflation_food_price_index_L10_12,0.0056,0.0131,-0.1137,,,,0.8239,0.7776,0.186,,,
W30_inflation_food_price_index_L1_3,0.0002,-0.0269,0.0346,-0.0109,-0.2108,0.0258,0.9969,0.75,0.4906,0.7482,0.3553,0.496
W30_inflation_food_price_index_L7_9,,,,0.0328,0.011,0.0293,,,,0.2316,0.9434,0.6517
W30_ln_c_fuel_gas_L1_3,-0.0716,0.0053,-0.1092,,,,0.0287,0.9474,0.0179,,,
W30_ln_c_fuel_gas_L4_6,,,,-0.064,0.2961,0.1446,,,,0.1336,0.3056,0.0621
W30_ln_c_fuel_gas_L7_9,0.0544,0.0571,0.13,0.0951,-0.2611,0.1792,0.0926,0.3834,0.0689,0.248,0.4082,0.2462
W30_ln_total_best_deaths_L10_12,-0.1007,-0.145,-0.0681,0.0533,0.1026,-0.0199,0.418,0.1695,0.7472,0.2453,0.1813,0.7918
W30_ln_total_best_deaths_L1_3,0.0432,0.0496,0.0315,0.0049,0.0638,-0.0501,0.6583,0.6059,0.809,0.8255,0.371,0.1046
W30_ln_total_events_L10_12,0.0448,0.1284,-0.048,-0.032,-0.1006,0.0245,0.7104,0.2732,0.8018,0.4847,0.2361,0.7452
W30_ln_total_events_L1_3,-0.0002,-0.0436,0.022,,,,0.9978,0.6097,0.84,,,
W30_ln_total_events_L4_6,,,,-0.0026,0.0456,-0.0363,,,,0.8939,0.5632,0.1711
W30_ndvi_anom_1m_L10_12,,,,0.0331,0.1308,0.2207,,,,0.2501,0.4082,0.1006
W30_ndvi_anom_1m_L1_3,0.0052,0.0649,0.0126,,,,0.8788,0.4985,0.8081,,,
W30_ndvi_anom_1m_L4_6,,,,0.0687,0.5049,0.2149,,,,0.2381,0.1041,0.1681
W30_ndvi_anom_1m_L7_9,0.0401,-0.0828,0.0938,,,,0.3411,0.3239,0.2141,,,
W30_sm1_anom_1m_L10_12,-0.0062,0.2194,-0.0207,,,,0.8863,0.2021,0.7641,,,
W30_sm1_anom_1m_L1_3,-0.0641,-0.2205,0.0575,,,,0.3864,0.0488,0.6496,,,
W30_sm1_anom_1m_L4_6,,,,0.0174,0.0589,-0.11,,,,0.7556,0.8204,0.0693
