term,beta_std_north_pooled,beta_std_north_post,beta_std_north_pre,beta_std_south_pooled,beta_std_south_post,beta_std_south_pre,pval_north_pooled,pval_north_post,pval_north_pre,pval_south_pooled,pval_south_post,pval_south_pre
W30_inflation_food_price_index_L10_12,-0.0106,-0.0153,-0.0516,,,,0.3316,0.2818,0.0969,,,
W30_inflation_food_price_index_L1_3,-0.0147,-0.0317,-0.0068,-0.0006,-0.0298,0.0175,0.1578,0.137,0.7517,0.9063,0.0644,0.2325
W30_inflation_food_price_index_L7_9,,,,0.0054,0.0102,-0.0061,,,,0.4198,0.5504,0.6914
W30_ln_c_fuel_gas_L4_6,-0.0077,0.0086,-0.0313,-0.0166,0.0321,-0.0039,0.473,0.3824,0.4256,0.1171,0.2149,0.8897
W30_ln_c_fuel_gas_L7_9,0.0033,-0.0183,0.0104,0.0284,-0.0125,0.0061,0.73,0.1164,0.7401,0.1508,0.6952,0.8709
W30_ln_total_best_deaths_L10_12,-0.0183,-0.0035,-0.0491,0.0119,0.0196,-0.0396,0.0278,0.6628,0.013,0.1565,0.0259,0.1969
W30_ln_total_best_deaths_L1_3,0.0231,0.0055,0.0246,,,,0.0403,0.786,0.2292,,,
W30_ln_total_best_deaths_L4_6,,,,-0.0025,-0.0012,0.0093,,,,0.8122,0.8444,0.5871
W30_ln_total_events_L10_12,,,,-0.0082,-0.0228,0.0684,,,,0.378,0.039,0.0785
W30_ln_total_events_L4_6,0.0124,0.0093,-0.0044,0.0056,0.0028,-0.0155,0.193,0.5079,0.7723,0.6277,0.7178,0.3942
W30_ln_total_events_L7_9,-0.0088,-0.0202,-0.0277,,,,0.2437,0.0204,0.0815,,,
W30_ndvi_anom_1m_L10_12,0.0141,0.0449,0.0117,,,,0.2018,0.147,0.4943,,,
W30_ndvi_anom_1m_L1_3,,,,-0.0342,-0.0448,0.0055,,,,0.0061,0.0487,0.7023
W30_ndvi_anom_1m_L4_6,-0.008,-0.0024,-0.024,,,,0.3045,0.9088,0.2574,,,
W30_ndvi_anom_1m_L7_9,,,,-0.0004,0.0315,-0.0159,,,,0.9661,0.0582,0.4101
W30_sm1_anom_1m_L10_12,,,,-0.0028,-0.0306,0.0066,,,,0.8068,0.184,0.6899
W30_sm1_anom_1m_L1_3,,,,-0.0011,-0.0166,-0.0594,,,,0.9289,0.4516,0.1589
W30_sm1_anom_1m_L4_6,-0.0151,0.0022,-0.025,,,,0.1745,0.9125,0.1701,,,
W30_sm1_anom_1m_L7_9,-0.0011,-0.0157,0.0326,,,,0.8921,0.5884,0.5405,,,
W30_spi6_L4_6,0.0169,-0.0481,0.0109,0.0099,0.0423,-0.0681,0.3359,0.1654,0.8221,0.4873,0.1763,0.0949
W30_spi6_L7_9,0.0296,0.0719,0.0433,-0.019,-0.0018,0.052,0.017,0.026,0.1417,0.1723,0.9514,0.2683
W30_spi6_drought_severity_L10_12,0.0212,0.0003,0.011,,,,0.0568,0.9808,0.6171,,,
W30_spi6_drought_severity_L4_6,-0.0041,-0.0222,-0.0345,-0.0039,-0.0127,0.0109,0.7449,0.1375,0.3037,0.4738,0.3255,0.3128
W30_spi6_drought_severity_L7_9,,,,-0.0073,-0.006,-0.0019,,,,0.0413,0.5504,0.8732
W30_spi6_flood_severity_L1_3,0.0138,0.0278,0.0129,,,,0.6212,0.6504,0.3059,,,
W30_spi6_flood_severity_L4_6,,,,0.0603,0.0141,0.0015,,,,0.0236,0.6942,0.9085
W30_spi6_flood_severity_L7_9,-0.0191,-0.0207,-0.0022,0.0297,-0.043,0.024,0.1937,0.4844,0.9134,0.1485,0.1138,0.0559
W30_t2m_max_anom_1m_L1_3,-0.0124,-0.0061,-0.0325,-0.0266,-0.0514,0.0169,0.3181,0.8131,0.2681,0.1095,0.165,0.3499
W30_t2m_max_anom_1m_L7_9,0.0505,0.0908,0.011,0.032,0.1223,0.0127,0.0723,0.0655,0.5961,0.0034,0.0033,0.2325
inflation_food_price_index_L10_12,0.0022,0.0003,0.0017,0.0029,0.0077,0.0033,0.5033,0.927,0.8762,0.1508,0.0063,0.3543
inflation_food_price_index_L1_3,0.0055,-0.0003,0.0069,,,,0.2348,0.941,0.3571,,,
inflation_food_price_index_L4_6,,,,0.0006,0.0067,-0.001,,,,0.7501,0.0341,0.872
ln_c_fuel_gas_L10_12,-0.0022,0.005,-0.0018,,,,0.734,0.5765,0.9175,,,
ln_c_fuel_gas_L4_6,-0.0009,0.0002,0.0136,0.0083,0.0141,-0.0051,0.8153,0.9757,0.3252,0.03,0.0856,0.7003
ln_c_fuel_gas_L7_9,,,,-0.0175,-0.0277,0.011,,,,0.0293,0.0988,0.5242
ln_total_best_deaths_L10_12,-0.0079,-0.0005,-0.0199,0.0049,0.0121,-0.0191,0.4654,0.9496,0.1465,0.3304,0.0255,0.052
ln_total_best_deaths_L1_3,,,,-0.0068,-0.0013,-0.0012,,,,0.4126,0.5002,0.8824
ln_total_best_deaths_L4_6,-0.009,0.0077,-0.0236,,,,0.2655,0.457,0.1699,,,
ln_total_events_L10_12,0.0123,0.0024,0.0282,-0.0094,-0.0133,0.0179,0.122,0.7827,0.0767,0.0735,0.0364,0.0963
ln_total_events_L1_3,,,,-0.0006,0.0022,-0.0057,,,,0.9104,0.3853,0.3528
ln_total_events_L4_6,0.0107,-0.006,0.0261,,,,0.2103,0.7387,0.1926,,,
ndvi_anom_1m_L10_12,-0.0145,-0.0158,-0.0138,,,,0.1289,0.2509,0.283,,,
ndvi_anom_1m_L1_3,-0.0042,-0.0099,-0.0016,,,,0.1658,0.1177,0.8283,,,
ndvi_anom_1m_L4_6,,,,0.0035,0.0104,-0.0023,,,,0.1472,0.0448,0.5867
ndvi_anom_1m_L7_9,,,,-0.0035,-0.0052,-0.002,,,,0.1789,0.2657,0.5764
sm1_anom_1m_L10_12,0.0146,0.0105,0.005,,,,0.0332,0.3899,0.5058,,,
sm1_anom_1m_L1_3,-0.0033,-0.0002,0.0029,-0.0013,-0.0035,0.018,0.7004,0.9897,0.6727,0.731,0.4479,0.0851
sm1_anom_1m_L7_9,,,,-0.0051,0.0007,0.0027,,,,0.214,0.8518,0.5629
spi6_L10_12,-0.0086,-0.0228,0.0406,-0.0054,-0.0153,-0.0045,0.5338,0.3434,0.0312,0.2965,0.1145,0.6357
spi6_L4_6,-0.0032,0.0215,0.0121,-0.0016,0.0014,0.0173,0.7305,0.339,0.482,0.749,0.844,0.2479
spi6_drought_severity_L4_6,-0.0017,-0.0039,-0.0013,0.0018,0.0003,0.0036,0.486,0.2613,0.819,0.3368,0.9286,0.4716
