Variable,Region,N_Districts,N_Months,Start,End,Total_Obs,Missing,Coverage_%,Mean,Std,Min,P25,Median,P75,Max
final_idp_count,North,60,81,2014-04,2024-08,4860,21,99.6,33696.863,60356.615,0.0,2133.0,9960.0,36504.0,683226.0
final_returnee_count,North,34,69,2015-05,2024-08,4860,2879,40.8,102274.04,169867.638,216.0,16908.0,49056.0,104832.0,1079502.0
total_best_deaths,North,60,81,2014-04,2024-08,4860,0,100.0,10.412,63.712,0.0,0.0,0.0,0.0,1595.0
total_events,North,60,81,2014-04,2024-08,4860,0,100.0,0.714,2.998,0.0,0.0,0.0,0.0,72.0
spi6,North,60,81,2014-04,2024-08,4860,0,100.0,0.274,1.108,-2.715,-0.528,0.358,1.093,2.85
t2m_max_anom_1m,North,60,81,2014-04,2024-08,4860,0,100.0,0.622,2.04,-9.294,-0.542,0.784,1.869,9.451
ndvi_anom_1m,North,60,81,2014-04,2024-08,4860,0,100.0,0.01,0.046,-0.123,-0.01,0.003,0.023,0.339
sm1_anom_1m,North,60,81,2014-04,2024-08,4860,0,100.0,0.004,0.044,-0.168,-0.009,0.0,0.013,0.252
spi6_flood_severity,North,60,81,2014-04,2024-08,4860,0,100.0,2.251,6.098,0.0,0.0,0.0,0.0,28.411
spi6_drought_severity,North,60,81,2014-04,2024-08,4860,0,100.0,0.619,2.33,0.0,0.0,0.0,0.0,17.092
inflation_food_price_index,North,60,81,2014-04,2024-08,4860,0,100.0,0.36,5.566,-19.58,-2.66,-0.05,3.172,31.43
c_fuel_gas,North,60,81,2014-04,2024-08,4860,0,100.0,7743.408,647.279,6453.91,7375.0,7724.96,8000.0,13180.54
final_idp_count,South,40,81,2014-04,2024-08,3240,0,100.0,4376.506,10268.909,0.0,228.0,993.0,3523.5,74118.0
final_returnee_count,South,2,58,2016-04,2024-08,3240,3176,2.0,16673.531,8071.507,1860.0,7668.0,21642.0,23134.5,24264.0
total_best_deaths,South,40,81,2014-04,2024-08,3240,0,100.0,0.528,9.923,0.0,0.0,0.0,0.0,395.0
total_events,South,40,81,2014-04,2024-08,3240,0,100.0,0.02,0.166,0.0,0.0,0.0,0.0,4.0
spi6,South,40,81,2014-04,2024-08,3240,0,100.0,0.26,1.123,-2.512,-0.599,0.332,1.076,2.808
t2m_max_anom_1m,South,40,81,2014-04,2024-08,3240,0,100.0,0.718,2.097,-7.034,-0.534,0.698,2.007,9.664
ndvi_anom_1m,South,40,81,2014-04,2024-08,3240,0,100.0,0.008,0.029,-0.146,-0.006,0.005,0.02,0.155
sm1_anom_1m,South,40,81,2014-04,2024-08,3240,0,100.0,0.002,0.038,-0.16,-0.006,-0.0,0.008,0.23
spi6_flood_severity,South,40,81,2014-04,2024-08,3240,0,100.0,2.558,6.907,0.0,0.0,0.0,0.0,29.502
spi6_drought_severity,South,40,81,2014-04,2024-08,3240,0,100.0,0.56,2.274,0.0,0.0,0.0,0.0,24.379
inflation_food_price_index,South,40,81,2014-04,2024-08,3240,0,100.0,0.213,6.113,-27.17,-2.85,0.18,3.048,34.71
c_fuel_gas,South,40,81,2014-04,2024-08,3240,0,100.0,6502.293,617.311,5070.58,6000.0,6281.79,7000.0,8017.46
